id,content,parent_id,tags,react_like,react_love,react_haha,react_wow,react_sad,react_angry,total_reactions,created_at,is_deleted
0a7aac7b-f2ef-42e5-aed6-0fd566a2eae8,"the green campus genuinely lowers my cortisol i cannot lie",,"up|question",17,21,2,0,2,0,42,2026-05-24T09:51:23.878Z,false
72de91e2-d9c4-455e-9083-4fba59ff7eba,"the green campus genuinely lowers my cortisol i cannot lie",,"up",9,22,14,1,0,0,46,2026-05-24T14:01:02.634Z,false
1afbc231-f062-44ae-a13b-405aa901c4e9,"AnimoSys crashed during enlistment. classic.",,"general",15,31,0,17,6,7,76,2026-05-25T16:53:58.365Z,false
479f3fa4-33df-46a1-aa9f-dcf5ca8fe37e,"Why is CRS the way that it is. Prerog szn hits different every term.",,"ust",1,2,0,1,11,3,18,2026-05-26T19:00:52.867Z,false
07061f56-8066-49e2-ab25-a70d284f4717,"mental health services here have a 10-week waitlist. do better.",,"ust",0,36,32,10,3,9,90,2026-05-27T05:41:04.834Z,false
1f9f919f-f984-4eb0-8b7b-94502b882adc,"facts",19529abf-ada2-4e42-b5ed-4730d8919a31,"general",16,0,8,8,2,5,39,2026-05-28T04:53:21.039Z,false
7c1e9742-5748-47cc-a340-aba974b914c5,"Trimester system is genuinely trying to end me. 14 weeks of hell is not a joke.",,"admu|question",0,9,1,12,0,1,23,2026-05-28T11:12:23.369Z,false
efa9935f-fb9a-479d-ac3d-81c303298af0,"facts",bafc7fa6-6c39-4c0a-9a8c-403e941c0db8,"general",5,16,0,3,8,0,32,2026-05-30T04:53:21.039Z,false
b9c6da4f-497b-4cba-8e56-c94e73523749,"why do they call it cura personalis then ghost you at consultation",,"ust|confession",16,5,3,4,1,3,32,2026-05-30T23:32:45.500Z,false
a00030d3-c3d3-40ac-98e9-c30bffb17446,"conyo culture is so real in katip it's actually funny",,"dlsu|confession",4,21,4,0,1,8,38,2026-05-31T02:00:45.433Z,false
274a1747-3a35-441b-b003-8829236778c6,"said what i said",72de91e2-d9c4-455e-9083-4fba59ff7eba,"general",30,8,11,1,0,6,56,2026-05-31T04:53:21.039Z,false
b4b9e10e-8f59-4c88-a63e-26ff751356b9,"said what i said",8574f120-79f8-4256-9abf-d7234da89387,"general",10,6,0,0,13,3,32,2026-05-31T04:53:21.039Z,false
1f3881d7-8e70-4203-b0e5-439ad4494593,"AnimoSys crashed during enlistment. classic.",,"ust|rant",24,16,13,8,5,6,72,2026-05-31T15:35:08.529Z,false
f5e27b95-950a-4022-9aa1-049abafbe2ff,"said what i said",a181198a-b8dc-404a-984e-097a582a704a,"general",0,20,25,6,12,4,67,2026-06-01T04:53:21.039Z,false
03419a01-7fec-4ab4-b629-4cf312837392,"touch grass",19529abf-ada2-4e42-b5ed-4730d8919a31,"general",10,0,11,10,4,2,37,2026-06-02T04:53:21.039Z,false
f4d59149-a804-4b0a-a10b-8d06b6a71bea,"waded through waist-deep flood to get to my 7am block. worth it? no.",,"up|question",24,5,7,0,9,7,52,2026-06-02T15:41:38.296Z,false
902ba235-cb96-4609-9a6e-b346e149b990,"said what i said",4e1b3bf2-8b99-4607-b550-6f8cd5986898,"general",27,29,3,0,1,2,62,2026-06-03T04:53:21.039Z,false
ad72c2ff-9323-4820-9398-35bb605eeac1,"no bc why is this so accurate",e847b585-3dda-4f93-9e3c-c72c61d8b84e,"general",22,1,14,7,3,8,55,2026-06-03T04:53:21.039Z,false
6c4da03c-f9f1-4c4f-abb1-7abf9dbd4569,"networking orgs feel like unpaid corporate internships lol",,"admu|hot-take",0,8,25,16,4,1,54,2026-06-03T18:00:02.932Z,false
452937b7-7740-4bdb-bc49-ef05c65d9a1f,"tuition went up AGAIN. for what exactly.",,"up",0,17,1,9,2,6,35,2026-06-03T21:06:17.288Z,false
c89ceee3-c546-460d-8ba9-a1165ba25dfe,"touch grass",19529abf-ada2-4e42-b5ed-4730d8919a31,"general",0,34,0,5,0,0,39,2026-06-04T04:53:21.039Z,false
d47610eb-ec67-4b5c-800c-f258b5be748f,"lmaooo",365272ee-ecec-4771-b533-145d0b1edc1e,"general",5,6,16,1,12,0,40,2026-06-04T04:53:21.039Z,false
777f12d7-89d1-4811-9a0d-f644a6694cc2,"no bc why is this so accurate",36b743cc-d870-4c59-abf2-f7bb42df2c7f,"general",6,13,12,2,0,8,41,2026-06-05T04:53:21.039Z,false
36b743cc-d870-4c59-abf2-f7bb42df2c7f,"the walk from the gate to my class is a full cardio session",,"ust",3,12,19,0,1,1,36,2026-06-05T23:14:13.364Z,false
5b1912ba-30c8-4c67-be2c-b5b2678def81,"AnimoSys crashed during enlistment. classic.",,"dlsu|question",2,38,20,0,7,3,70,2026-06-07T07:14:13.114Z,false
0437c5a7-39f1-4809-ac61-88a1f57b5120,"felt this",7c1e9742-5748-47cc-a340-aba974b914c5,"general",1,10,2,2,1,2,18,2026-06-08T04:53:21.039Z,false
3399bb72-03cf-4c54-873b-834520df309a,"facts",96a3fd3d-b43e-4ab8-91a9-01cdf2dec002,"general",16,2,0,12,2,3,35,2026-06-08T04:53:21.039Z,false
0abadaa1-881c-4fc5-ad4a-280e938de5bc,"touch grass",b9c6da4f-497b-4cba-8e56-c94e73523749,"general",30,30,5,2,0,0,67,2026-06-08T04:53:21.039Z,false
8574f120-79f8-4256-9abf-d7234da89387,"hot take: happy thursday is overrated and my liver agrees",,"up|rant",1,30,10,0,1,3,45,2026-06-09T04:38:57.408Z,false
622cb0ca-4255-424e-b311-8d9f3bdce731,"the walk from the gate to my class is a full cardio session",,"ust",9,3,6,5,11,1,35,2026-06-09T10:13:23.236Z,false
79bd04f8-3d20-49ac-96c0-1962a5b42dcf,"source? (jk)",b9c6da4f-497b-4cba-8e56-c94e73523749,"general",0,15,7,0,1,2,25,2026-06-10T04:53:21.039Z,false
516a5975-8300-4fa1-ad82-e48286775a4f,"source? (jk)",0a7aac7b-f2ef-42e5-aed6-0fd566a2eae8,"general",1,18,2,4,4,0,29,2026-06-10T04:53:21.039Z,false
31d6581c-b4a5-41fb-a7cc-727e3f9b9e4c,"source? (jk)",d956e71a-b243-4948-8ecc-6451ac5f5b7d,"general",4,0,28,18,0,3,53,2026-06-10T04:53:21.039Z,false
014d8d13-fddd-4690-8c04-d7496e3aaa5b,"touch grass",72de91e2-d9c4-455e-9083-4fba59ff7eba,"general",25,10,1,0,0,0,36,2026-06-13T04:53:21.039Z,false
4edbd5f9-aea7-4252-a369-09a3ecd2c82f,"disagree tbh",8ee5dfc4-e0e3-4e3a-882e-ef27072dd534,"general",37,0,38,7,2,0,84,2026-06-13T04:53:21.039Z,false
365272ee-ecec-4771-b533-145d0b1edc1e,"waded through waist-deep flood to get to my 7am block. worth it? no.",,"dlsu|rant",1,11,39,8,6,3,68,2026-06-13T10:05:02.291Z,false
63ef5468-c8a8-454a-bf03-10a1dd2d2b63,"disagree tbh",8ee5dfc4-e0e3-4e3a-882e-ef27072dd534,"general",1,19,0,12,5,1,38,2026-06-15T04:53:21.039Z,false
4c990987-c64b-49b2-9a48-0aa950b9658f,"facts",7c1e9742-5748-47cc-a340-aba974b914c5,"general",37,11,2,7,0,2,59,2026-06-15T04:53:21.039Z,false
e3b388ab-34d4-425d-900f-e7a3086f3bc7,"this",e847b585-3dda-4f93-9e3c-c72c61d8b84e,"general",1,0,29,0,8,0,38,2026-06-15T04:53:21.039Z,false
1bfd1ed6-fa2c-43ae-a292-4f6423639546,"said what i said",6c4da03c-f9f1-4c4f-abb1-7abf9dbd4569,"general",0,17,11,11,0,2,41,2026-06-15T04:53:21.039Z,false
403cfa62-f719-415a-9454-c5e0da1fd199,"kanal humor is elite, y'all just scared to be relatable",,"admu|hot-take",16,0,28,15,1,2,62,2026-06-15T18:32:22.309Z,false
84b00776-b921-4c63-8466-f90a518bcfff,"networking orgs feel like unpaid corporate internships lol",,"admu",15,0,0,15,0,4,34,2026-06-16T04:36:07.853Z,false
e1a0f4a8-a928-4b26-95e0-a2086f1cd34d,"no bc why is this so accurate",96a3fd3d-b43e-4ab8-91a9-01cdf2dec002,"general",8,6,5,10,0,0,29,2026-06-16T04:53:21.039Z,false
fab52259-0492-4064-b47d-a8be70a78100,"free tuition but the buildings are held together by hope and tape",,"ust|rant",23,19,14,2,2,1,61,2026-06-17T02:29:45.494Z,false
68ca0a3a-e9d4-4128-aa46-405ed155d861,"lmaooo",b0441996-1125-446e-bcaa-212e8d7ca311,"general",0,4,8,8,0,6,26,2026-06-17T04:53:21.039Z,false
b3733402-cef0-4172-bf4d-63609acae533,"disagree tbh",bdb875e7-dad9-45a3-8d4f-3ffe43b58b20,"general",34,33,7,12,1,6,93,2026-06-18T04:53:21.039Z,false
1064c670-fa69-46c8-b76e-398d0d403919,"disagree tbh",b0441996-1125-446e-bcaa-212e8d7ca311,"general",1,7,3,19,0,0,30,2026-06-19T04:53:21.039Z,false
c64b6279-2728-42d2-95e8-d53b0608e677,"said what i said",96a3fd3d-b43e-4ab8-91a9-01cdf2dec002,"general",15,7,20,17,5,0,64,2026-06-19T04:53:21.039Z,false
8209d779-e0bf-4fe3-bd28-df35fd62538a,"real",479f3fa4-33df-46a1-aa9f-dcf5ca8fe37e,"general",8,15,4,0,4,0,31,2026-06-20T04:53:21.039Z,false
eb235d36-2b15-45f6-a327-cc6c035c6f80,"this",4e1b3bf2-8b99-4607-b550-6f8cd5986898,"general",38,7,17,0,1,8,71,2026-06-21T04:53:21.039Z,false
ce397efe-b2ae-417a-bad1-99f5e8c22c05,"touch grass",fab52259-0492-4064-b47d-a8be70a78100,"general",0,10,1,0,11,3,25,2026-06-21T04:53:21.039Z,false
346bc0a5-8711-4046-8884-71621d5eabf2,"touch grass",403cfa62-f719-415a-9454-c5e0da1fd199,"general",0,9,33,0,3,5,50,2026-06-21T04:53:21.039Z,false
a181198a-b8dc-404a-984e-097a582a704a,"the uniform actually saves me so much decision fatigue lowkey",,"admu",3,6,5,1,2,4,21,2026-06-21T10:45:40.323Z,false
7bb87ca5-180d-4274-b109-72edb03efb9d,"disagree tbh",72de91e2-d9c4-455e-9083-4fba59ff7eba,"general",10,24,9,4,1,0,48,2026-06-22T04:53:21.039Z,false
4b187a8c-6fcb-4f5d-abdd-2ae642883d13,"felt this",96ba04fc-2a88-4c68-b3f1-8e3baf4d23c4,"general",12,30,32,6,4,7,91,2026-06-22T04:53:21.039Z,false
bdb875e7-dad9-45a3-8d4f-3ffe43b58b20,"block section trauma bond is undefeated ngl, ride or die na kami",,"dlsu",15,2,8,3,2,0,30,2026-06-22T19:45:01.837Z,false
19529abf-ada2-4e42-b5ed-4730d8919a31,"the uniform actually saves me so much decision fatigue lowkey",,"general|question",28,1,39,4,1,0,73,2026-06-24T09:00:29.810Z,false
9e5d2e91-797b-41a9-b887-b98ecfdaffb0,"block section trauma bond is undefeated ngl, ride or die na kami",,"ust|hot-take",18,0,8,4,7,5,42,2026-06-25T00:25:13.189Z,false
e7422133-d125-45c2-bb94-2cd735649ed0,"source? (jk)",bafc7fa6-6c39-4c0a-9a8c-403e941c0db8,"general",16,16,15,17,12,3,79,2026-06-25T04:53:21.039Z,false
d2d1eb11-0ca2-49b5-b14f-bf3e63929acc,"this",6c4da03c-f9f1-4c4f-abb1-7abf9dbd4569,"general",35,28,27,1,4,0,95,2026-06-25T04:53:21.039Z,false
57aa3da6-e16e-44e6-80e5-07c7a86197d4,"source? (jk)",452937b7-7740-4bdb-bc49-ef05c65d9a1f,"general",21,20,0,18,6,2,67,2026-06-25T04:53:21.039Z,false
460cfd31-5f01-4e62-a9d1-c8334782c6fa,"this",e847b585-3dda-4f93-9e3c-c72c61d8b84e,"general",26,7,25,13,5,1,77,2026-06-25T04:53:21.039Z,false
82b79c2a-b4fc-4e80-bcad-d1e19a413e8e,"touch grass",07061f56-8066-49e2-ab25-a70d284f4717,"general",33,10,39,0,0,2,84,2026-06-25T04:53:21.039Z,false
4e1b3bf2-8b99-4607-b550-6f8cd5986898,"Trimester system is genuinely trying to end me. 14 weeks of hell is not a joke.",,"ust",37,0,0,16,4,1,58,2026-06-25T09:14:40.161Z,false
8ee5dfc4-e0e3-4e3a-882e-ef27072dd534,"mental health services here have a 10-week waitlist. do better.",,"general",6,1,2,0,3,3,15,2026-06-26T04:02:24.125Z,false
f68efa4e-33c4-47c3-abf1-85528a91af52,"felt this",1afbc231-f062-44ae-a13b-405aa901c4e9,"general",10,0,13,14,5,0,42,2026-06-26T04:53:21.039Z,false
4441d4d4-9748-46bb-882e-9fd4e78bd7eb,"tuition went up AGAIN. for what exactly.",,"admu|confession",6,25,21,13,3,9,77,2026-06-26T13:54:57.264Z,false
b0441996-1125-446e-bcaa-212e8d7ca311,"the green campus genuinely lowers my cortisol i cannot lie",,"general|question",21,1,0,0,10,6,38,2026-06-26T17:50:14.236Z,false
235072e7-4d7f-4c1a-a536-ca52124345b2,"real",e847b585-3dda-4f93-9e3c-c72c61d8b84e,"general",5,0,10,17,12,8,52,2026-06-27T04:53:21.039Z,false
